iter	Passed	Remaining
0	817	817034
1	896	447493
2	982	326652
3	1061	264343
4	1140	226987
5	1223	202671
6	1303	184850
7	1382	171415
8	1468	161696
9	1560	154499
10	1638	147318
11	1718	141488
12	1802	136857
13	1877	132197
14	1952	128223
15	2030	124867
16	2129	123112
17	2204	120240
18	2270	117215
19	2348	115099
20	2422	112948
21	2518	111961
22	2592	110119
23	2671	108657
24	2753	107380
25	2825	105830
26	2901	104546
27	2988	103740
28	3069	102769
29	3149	101838330	3228	100923131	3303	99923232	3372	98823333	3449	98003434	3548	97841
35	3625	97077
36	3687	95973737	3772	95503838	3852	94933939	3932	94394040	4008	93774141	4075	929542	4148	92325
4343	4227	91854444	4305	91364545	4391	91084646	4482	90874747	4557	90394848	4640	90064949	4718	89645050	4796	89255151	4875	88895252	4955	88545353	5026	880554	5105	87719
55	5189	87485
56	5276	87290
57	5357	87009
58	5435	86688
59	5520	86490
60	5601	86228
61	5678	85917
6262	5778	859363	5853	85606
64	5931	85327
65	6012	85082
66	6096	84895
67	6173	84608
68	6251	84351
69	6343	84278
70	6424	84056
7171	6514	839772	6591	83707
73	6680	83601
7474	6774	83557575	6853	833176	6926	83023
7777	7015	829378	7090	82663
79	7172	82483
80	7261	82386
81	7352	82309
82	7434	82132
8383	7523	82048484	7607	81898585	7689	81718686	7784	81698787	7858	81448888	7936	81238989	8013	810290	8080	80715
9191	8172	80659292	8250	80469393	8332	80319494	8413	80159595	8500	80049696	8580	798797	8647	79593
9898	8743	79579999	8826	794310100	8910	793010101	8994	791810102	9077	7905103	9143	78775
104	9223	78619
10105	9321	786110106	9399	784410107	9467	781910108	9560	781410109	9637	779711110	9717	778311111	9798	7769112	9865	77438
113	9941	77262
11114	10037	772411115	10122	7713116	10195	76948
117	10273	76788
118	10352	76646
11119	10451	766412120	10530	764912121	10598	762712122	10702	763012123	10804	763212124	10888	762112125	10964	760512126	11037	758712127	11112	757012128	11204	756512129	11296	755913130	11375	75457
131	11452	75309
132	11531	751713133	11607	750113134	11685	74871
135	11766	747513136	11849	746413137	11924	744813138	12006	743713139	12084	742314140	12160	74083
141	12238	73947
142	12324	73861
143	12416	738114144	12494	736714145	12574	735514146	12650	734014147	12735	73314
148	12811	73170
149	12895	73072
150	12975	72956
151	13061	72868
152	13140	72743
153	13217	72611
154	13294	72478
155	13367	72323
156	13451	72226
157	13546	72189
158	13624	72065
159	13709	71976
160	13786	71842
161	13864	71718
162	13932	71541
163	14023	71486
164	14100	71358
165	14179	71239
166	14263	71147
167	14340	71017
168	14429	70949
169	14501	70803
170	14578	70674
171	14660	70573
172	14745	70489
173	14818	70343
174	14886	70178
175	14982	70146
176	15074	70091
177	15145	69940
178	15230	69855
179	15313	69759
180	15390	69640
181	15462	69495
182	15538	69369
183	15615	69252
184	15702	69177
185	15789	69099
186	15865	689718187	15942	688518188	16021	687418189	16098	68628
190	16174	68507
191	16256	684119192	16332	68293
193	16409	681719194	16488	680619195	16567	679619196	16644	67846
197	16725	67745
198	16811	67670
199	16885	675420200	16978	67490
201	17064	67412
202	17138	67288
203	17234	67249
204	17321	67172
205	17412	67115
206	17477	66955
207	17557	66854
208	17633	66739
209	17718	66655
210	17795	66544
211	17874	66439
212	17951	66326
213	18038	66253
214	18115	66143
215	18205	66077
216	18277	65951
217	18355	65843
218	18430	65726
219	18510	65628
220	18592	65538
221	18670	65429
222	18746	65317
223	18818	65193
224	18900	65101
225	18990	65038
226	19070	64938
227	19157	64868
228	19240	64780
229	19319	64678
230	19394	64564
231	19471	64456
232	19568	64416
233	19671	64395
234	19747	64285
235	19825	64180
236	19901	64072
237	19982	63977
238	20064	63886
239	20140	63777
240	20248	63771
241	20327	63671
242	20405	63566
243	20485	63470
244	20562	63365
245	20637	63253
246	20721	63171
247	20796	63060
248	20876	62964
249	20950	62850
250	21013	62705
251	21088	62596
252	21181	62541
253	21250	62414
254	21318	62284
255	21398	62188
256	21476	62089
257	21543	61959
258	21621	61860
259	21710	61791
260	21793	61707
261	21869	61601
262	21950	61511
263	22046	61463
264	22122	61358
265	22198	61254
266	22273	61148
267	22358	61067
268	22436	60970
269	22513	60869
270	22591	60770
271	22667	60670
272	22744	60567
273	22831	60493
274	22906	60390
275	22985	60294
276	23062	60196
277	23136	60089
278	23213	59989
279	23291	59892
280	23371	59801
281	23454	59718
282	23543	59649
283	23623	59558
284	23709	59480
285	23781	59370
286	23864	59286
287	23945	59198
288	24022	59101
289	24115	59040
290	24191	58940
291	24286	58887
292	24361	58784
293	24423	58649
294	24502	58557
295	24582	58466
296	24670	58393
297	24739	58280
298	24810	58168
299	24890	58078
300	24972	57992
301	25049	57896
302	25129	57805
303	25202	57699
304	25280	57606
305	25390	57585
306	25472	57500
307	25551	57407
308	25640	57339
309	25720	57249
310	25798	57155
311	25874	57055
312	25950	56958
313	26027	56862
314	26101	56761
315	26176	56660
316	26258	56576
317	26340	56490
318	26418	56397
319	26494	56301
320	26571	56204
321	26650	56114
322	26727	56020
323	26811	55940
324	26887	55844
325	26966	55753
326	27041	55654
327	27121	55565
328	27201	55478
329	27278	55384
330	27353	55286
331	27443	55217
332	27509	55102
333	27591	55018
334	27675	54937
335	27751	54842
336	27827	54746
337	27902	54649
338	27979	54555
339	28058	54465
340	28131	54365
341	28219	54294
342	28299	54205
343	28377	54115
344	28452	54018
345	28529	53926
346	28612	53844
347	28690	53753
348	28764	53655
349	28841	53562
350	28912	53460
351	28976	53342
352	29058	53260
353	29149	53192
354	29224	53098
355	29302	53007
356	29381	52918
357	29460	52830
358	29538	52741
359	29612	52644
360	29688	52551
361	29755	52441
362	29844	52371
363	29917	52273
364	29999	52191
365	30075	52098
366	30158	52017
367	30233	51923
368	30326	51858
369	30412	51783
370	30491	51695
371	30564	51597
372	30643	51510
373	30720	51420
